source_id,source_origin_time,source_latitude_deg,source_longitude_deg,source_depth_km,source_magnitude,source_magnitude_type,strike,dip,rake,mechanism_type,solution_source,estimated_quality,zncc,preliminary_estimated_quality,polarity_validation,pred_usable_polarity_count,pred_polarity_match_ratio
7456951,2016-08-31T01:41:49.06Z,42.8007,13.1637,10.8,3.1,ML,267,15,-84,normal,model_prediction,moderate,0.822960079,moderate,strong,12,0.75
11535771,2016-12-14T13:40:32.76Z,43.018,13.0702,8.9,3.7,ML,145,27,-100,normal,model_prediction,moderate,0.848834872,moderate,acceptable,14,0.642857143
7498771,2016-08-31T21:42:52.17Z,42.776,13.168,9.8,3.5,ML,174,25,-75,normal,model_prediction,moderate,0.857467473,high,acceptable,15,0.533333333
7495191,2016-08-31T20:08:02.98Z,42.8213,13.1312,9.5,3.5,ML,358,56,-66,normal,model_prediction,high,0.84518373,high,strong,15,0.733333333
9070811,2016-11-01T18:47:51.02Z,42.7272,13.2168,10,3.4,ML,204,33,-30,strike_slip,model_prediction,high,0.827655911,high,strong,13,0.769230769
7472171,2016-08-31T09:46:16.12Z,42.7562,13.1813,10.3,3.2,ML,348,41,-64,normal,model_prediction,moderate,0.844831944,moderate,acceptable,10,0.7
7733871,2016-09-05T21:36:11.36Z,42.6502,13.3262,9.6,3.5,ML,141,50,-98,normal,model_prediction,high,0.84750545,high,strong,14,0.785714286
15081511,2017-05-01T00:31:19.96Z,42.6352,13.2138,9.9,3,ML,139,41,-139,strike_slip,model_prediction,moderate,0.794231296,moderate,strong,13,0.769230769
11272151,2016-12-09T07:14:29.86Z,43.0167,13.0732,9,3.4,ML,314,44,-73,normal,model_prediction,high,0.830947518,high,strong,15,0.8
11535691,2016-12-14T13:37:32.06Z,43.0158,13.0672,7.5,3.4,ML,342,54,-81,normal,model_prediction,moderate,0.783809006,moderate,strong,12,0.75
10423461,2016-11-23T07:54:45.31Z,43.0428,13.1042,8.2,3.3,ML,104,90,-175,strike_slip,model_prediction,high,0.827907324,high,strong,13,1
9314001,2016-11-05T00:42:06.35Z,42.8292,13.2255,12.5,3.1,ML,163,11,-98,normal,model_prediction,moderate,0.828358173,moderate,strong,11,0.818181818
8817021,2016-10-29T08:48:54.68Z,42.9913,13.058,9.8,3.5,ML,170,25,-54,normal,model_prediction,high,0.833972394,high,strong,9,0.666666667
7972271,2016-09-13T11:04:21.20Z,42.583,13.2008,12.4,3.3,ML,259,67,-154,strike_slip,model_prediction,high,0.821794629,high,strong,16,1
9383611,2016-11-06T03:19:31.53Z,43.0622,13.0602,8.9,3.8,ML,139,50,-103,normal,model_prediction,high,0.84231478,high,strong,15,0.866666667
9271231,2016-11-04T10:48:33.66Z,42.8705,13.1302,7.7,3.2,ML,106,44,-143,strike_slip,model_prediction,high,0.809691787,high,strong,10,0.8
8416531,2016-10-08T08:15:01.89Z,42.7787,13.2012,10.1,3.1,ML,111,66,-60,normal,model_prediction,high,0.825376153,high,strong,14,0.785714286
8641351,2016-10-24T18:41:18.46Z,43.3772,12.5463,5.6,3,ML,340,47,-74,normal,model_prediction,moderate,0.794323623,moderate,acceptable,13,0.692307692
10737031,2016-11-29T01:52:59.60Z,42.8122,12.7623,8.9,3.5,ML,118,37,-106,normal,model_prediction,moderate,0.783208966,moderate,acceptable,13,0.615384615
7508401,2016-09-01T01:55:52.39Z,42.8415,13.1833,15,3.2,ML,206,71,-60,normal,model_prediction,high,0.801100194,high,strong,13,0.846153846
20439031,2018-08-20T18:32:08.84Z,41.8582,14.8452,16.8,3.1,ML,192,80,10,strike_slip,model_prediction,moderate,0.824509263,moderate,acceptable,12,0.833333333
9200991,2016-11-03T11:59:17.71Z,42.908,13.2137,8.8,3.5,ML,333,49,-91,normal,model_prediction,moderate,0.855638504,high,acceptable,10,0.7
9371891,2016-11-05T22:32:05.31Z,42.9472,13.1992,8.4,3.2,ML,148,44,-76,normal,model_prediction,high,0.798186183,high,strong,9,0.777777778
12463831,2017-01-08T13:48:50.65Z,43.2992,12.8228,45.4,3.1,ML,359,63,-74,normal,model_prediction,moderate,0.814315319,high,acceptable,10,0.7
8438051,2016-10-09T04:42:42.40Z,42.7403,13.1853,7.9,3.6,ML,150,51,-93,normal,model_prediction,high,0.866062462,high,strong,13,0.923076923
9533371,2016-11-08T20:00:56.42Z,42.8153,12.7752,8.5,3.2,ML,74,37,-107,normal,model_prediction,high,0.843955815,high,strong,12,1
11510961,2016-12-14T03:54:00.24Z,42.6413,13.3227,8.1,3.8,ML,333,34,-86,normal,model_prediction,moderate,0.857319713,high,acceptable,11,0.727272727
8682271,2016-10-26T23:52:30.19Z,42.8428,13.1647,8.3,3.5,ML,287,53,-102,normal,model_prediction,high,0.842741489,high,strong,13,0.769230769
16258031,2017-07-09T22:39:24.32Z,42.7912,13.1452,9.3,3.1,ML,328,47,-44,strike_slip,model_prediction,high,0.83500886,high,strong,11,0.909090909
8793301,2016-10-28T22:00:16.50Z,42.8033,13.1457,8.9,3.1,ML,167,14,-62,normal,model_prediction,high,0.817953229,high,strong,15,0.733333333
10668731,2016-11-27T19:51:12.10Z,43.0118,13.0725,7.8,3.2,ML,6,38,-13,strike_slip,model_prediction,moderate,0.786838233,moderate,acceptable,14,0.642857143
8436441,2016-10-09T02:47:28.96Z,42.7412,13.1938,8.8,3,ML,299,48,-141,strike_slip,model_prediction,moderate,0.811492085,moderate,acceptable,14,0.714285714
9336941,2016-11-05T08:25:30.15Z,42.6742,13.1788,11.3,3,ML,322,57,-94,normal,model_prediction,moderate,0.833045423,moderate,strong,11,0.909090909
