origin_time_utc,catalog_strike_deg,catalog_dip_deg,catalog_rake_deg,predicted_strike_deg,predicted_dip_deg,predicted_rake_deg,kagan_angle_deg
2024-01-28T09:23:22.320000,130,49,-72,300,40,-97,11.68
2024-02-07T05:02:02.030000,117,58,-89,137,46,-87,22.3
2024-02-07T13:55:34.750000,149,69,102,318,20,72,11.45
2024-02-09T10:55:29.630000,273,50,-69,303,37,-77,38.43
2024-02-09T12:06:21.620000,276,51,68,280,55,82,12.67
2024-02-09T16:38:06.710000,149,82,100,293,16,40,15.08
2024-02-10T15:10:29.100000,298,52,-106,142,46,-87,16.58
2024-02-14T14:50:35.040000,142,69,100,322,13,75,20.22
2024-02-15T10:38:08.800000,143,71,98,328,12,81,18.31
2024-02-15T11:00:01.940000,150,63,80,323,21,72,17.76
2024-02-20T13:46:39.690000,107,60,84,291,22,80,16.07
2024-03-27T21:19:36.820000,98,57,132,207,56,36,10.84
2024-04-16T17:49:11.500000,266,84,-147,112,90,-175,47.25
2024-04-22T00:11:07.960000,9,54,-91,24,57,-106,26.7
