source_id,source_origin_time,source_latitude_deg,source_longitude_deg,source_depth_km,source_magnitude,source_magnitude_type,strike,dip,rake,mechanism_type,solution_source,estimated_quality,zncc
11438671,2016-12-12T17:09:41.43Z,42.7432,13.04,9.9,3.4,ML,330,0,91,thrust,model_prediction,high,0.791079938
8671781,2016-10-26T20:12:41.12Z,43.0243,13.1197,7.5,3.3,ML,88,12,-93,normal,model_prediction,moderate,0.813405275
9008551,2016-11-01T00:36:36.29Z,42.8592,13.0825,9.1,3.1,ML,219,42,4,strike_slip,model_prediction,moderate,0.803953171
11382811,2016-12-11T12:54:52.97Z,42.9048,13.1175,8.5,4.3,ML,167,36,-100,normal,model_prediction,moderate,0.866317213
8833831,2016-10-29T17:14:26.74Z,42.9567,13.0755,9.6,3.2,ML,196,24,-18,strike_slip,model_prediction,high,0.806141376
9980481,2016-11-15T18:30:58.17Z,43.0285,13.0817,9.1,3.2,ML,138,32,-88,normal,model_prediction,moderate,0.821501255
9311131,2016-11-04T23:45:21.26Z,42.7917,13.1333,9.2,3.3,ML,123,32,-81,normal,model_prediction,moderate,0.82188642
8843681,2016-10-29T22:08:08.53Z,42.8272,13.0978,10,3.2,ML,345,19,-108,normal,model_prediction,moderate,0.790986478
9226741,2016-11-03T20:32:40.67Z,42.7982,13.1122,9.1,3.5,ML,303,0,55,thrust,model_prediction,high,0.844723701
8822841,2016-10-29T11:48:17.47Z,43.0132,13.1087,8.8,3,ML,320,43,-102,normal,model_prediction,moderate,0.8007586
10188281,2016-11-19T01:12:38.51Z,42.9993,13.0773,7.4,3.3,ML,124,14,-81,normal,model_prediction,high,0.83196348
8746881,2016-10-28T01:55:09.50Z,42.9898,13.1427,7.7,3.3,ML,330,47,-88,normal,model_prediction,moderate,0.803004086
12585481,2017-01-12T17:14:23.38Z,43.0788,13.0712,8.4,3.3,ML,208,72,-66,normal,model_prediction,high,0.823747575
9344461,2016-11-05T11:15:26.49Z,42.9457,13.2155,8.5,3.2,ML,306,9,-147,strike_slip,model_prediction,high,0.823781967
7074411,2016-08-24T02:01:08.12Z,42.7988,13.2412,6.9,3.9,ML,313,61,-97,normal,model_prediction,high,0.821100116
8748331,2016-10-28T02:33:53.35Z,42.9913,13.1498,8.1,3.3,ML,338,53,-84,normal,model_prediction,moderate,0.839570105
12370211,2017-01-04T16:59:50.59Z,43.0243,13.0597,8.1,3.1,ML,117,55,-106,normal,model_prediction,moderate,0.788002789
